Date,high,low,open,close,kdjk,kdjd,rsi_6,rsi_12,macd,cci,wr_10,wma10,Point
2004/12/31,0.812170029,0.800312996,0.807722986,0.806240976,16.42630912,16.34901089,30.47409554,32.58920725,-0.018124759,-91.19534117,81.13282857,0.815780284,0
2005/1/3,0.812170029,0.800312996,0.807722986,0.806240976,17.23992989,16.64598389,30.47409554,32.58920725,-0.018278888,-76.12442747,81.13282857,0.812196335,0
2005/1/4,0.803277016,0.788456976,0.803277016,0.798830986,15.73555617,16.34250798,25.30495717,30.06958351,-0.018782448,-87.25339172,87.27319127,0.807965734,0
2005/1/5,0.804759026,0.776600003,0.797348976,0.779564023,11.87921079,14.85474225,16.54725475,24.66127319,-0.020499896,-100.7290341,96.82551234,0.801121285,0
2005/1/6,0.789938986,0.761780024,0.781045973,0.769190013,10.79293427,13.50080626,13.52326245,22.30483944,-0.022439414,-124.8216315,91.37961879,0.793926615,0
2005/1/7,0.781045973,0.761780024,0.769190013,0.767708004,11.00465683,12.66875645,13.11246772,21.97756482,-0.023821482,-122.9726285,93.1037089,0.787809816,-1
2005/1/10,0.789938986,0.769190013,0.778082013,0.788456976,24.4792611,16.60559133,42.4720124,36.26153374,-0.022977641,-81.40007075,48.57153035,0.786839831,0
2005/1/11,0.806240976,0.784009993,0.788456976,0.804759026,44.75041144,25.98719804,56.37126179,44.90651054,-0.02075421,-18.31998009,17.1440489,0.789076364,1
2005/1/12,0.804759026,0.789938986,0.804759026,0.797348976,53.36271324,35.11236977,49.8073097,42.07661451,-0.019366805,-7.877128326,29.41268317,0.789911724,0
2005/1/13,0.798830986,0.791420996,0.795867026,0.794385016,57.14356783,42.45610246,47.17089188,40.95055641,-0.018295544,-3.12494071,35.294723,0.790235128,0
2005/1/14,0.804759026,0.784009993,0.792903006,0.788456976,58.09599788,47.66940093,41.85377981,38.69132411,-0.017720633,-9.695992644,47.05903923,0.789723215,0
2005/1/17,0.791420996,0.767708004,0.778082013,0.782527983,54.28585736,49.87488641,36.86628749,36.4945399,-0.017541228,-81.06464602,53.33442369,0.788456649,0
2005/1/18,0.784009993,0.767708004,0.778082013,0.775117993,46.19033473,48.64670251,31.27662766,33.87246089,-0.017791878,-94.74317563,70.00071052,0.786273957,0
2005/1/19,0.775117993,0.761780024,0.775117993,0.761780024,30.79355649,42.69565384,23.56057449,29.68445199,-0.018849498,-128.0749898,100,0.782097326,0
2005/1/20,0.764743984,0.745477021,0.760297,0.748440981,22.15497975,35.84876248,18.17850181,26.15620435,-0.020527391,-168.8770736,95.12217372,0.775818759,-1
2005/1/21,0.824025989,0.743995011,0.745477021,0.806240976,40.69576623,37.46443039,62.60123745,52.72035487,-0.016997224,51.10395281,22.22266081,0.780426537,0
2005/1/24,0.829954028,0.797348976,0.822543979,0.807722986,51.84305288,42.25730456,63.21571322,53.19135374,-0.0139195,151.2011394,25.86237383,0.784603172,1
2005/1/25,0.801795006,0.784009993,0.801795006,0.792903006,53.52766049,46.01408987,52.80460266,47.9773972,-0.012531771,45.12501367,43.10312429,0.785734974,0
2005/1/26,0.818098009,0.791420996,0.792903006,0.797348976,56.37479803,49.46765926,55.44614442,49.59440674,-0.010947043,82.27917664,37.93092689,0.787890699,0
2005/1/27,0.803277016,0.775117993,0.797348976,0.782527983,52.52557997,50.48696616,45.30291985,44.55774239,-0.010762996,-3.471658707,55.17285614,0.787351697,0
2005/1/28,0.782527983,0.763261974,0.778082013,0.778082013,48.2353688,49.73643371,42.50391227,43.12452385,-0.010850808,-67.85459235,60.34505354,0.78621992,0
2005/1/31,0.779564023,0.763261974,0.775117993,0.772153974,43.0764428,47.51643674,38.68014237,41.19705008,-0.011268843,-70.44374575,67.2414092,0.784198953,-1
2005/2/1,0.792903006,0.770672023,0.772153974,0.785493016,44.80979536,46.61422295,50.66455399,47.01076756,-0.010403861,-5.880869478,51.72349952,0.784791885,0
2005/2/2,0.846256971,0.784009993,0.786975026,0.838846982,60.79116817,51.33987135,74.54413563,62.98097064,-0.005351448,175.8196475,7.246086225,0.794896901,0
2005/2/3,0.843293011,0.816615999,0.838846982,0.818098009,62.55127677,55.07700649,60.80864624,55.84102866,-0.002987209,150.4154375,27.53610686,0.799828159,0
2005/2/4,0.899610996,0.815133989,0.815133989,0.881826997,70.68651871,60.28017723,76.65971338,67.99731113,0.003982951,212.6600078,13.0429974,0.815080014,0
2005/2/7,0.899610996,0.815133989,0.815133989,0.881826997,76.11001334,65.55678927,76.65971338,67.99731113,0.009398513,160.0778093,13.0429974,0.828957578,0
2005/2/8,0.899610996,0.815133989,0.815133989,0.881826997,79.72567643,70.27975166,76.65971338,67.99731113,0.013534369,128.3769291,13.0429974,0.841487797,0
2005/2/9,0.899610996,0.815133989,0.815133989,0.881826997,82.13611849,74.23187393,76.65971338,67.99731113,0.016620475,107.5268984,13.0429974,0.852401215,0
2005/2/10,0.899610996,0.815133989,0.815133989,0.881826997,83.74307986,77.40227591,76.65971338,67.99731113,0.018848956,90.77706765,13.0429974,0.86177867,0
2005/2/11,0.899610996,0.815133989,0.815133989,0.881826997,84.56452956,79.78969379,76.65971338,67.99731113,0.020380115,77.53990179,13.0429974,0.869350688,0
2005/2/14,0.899610996,0.815133989,0.815133989,0.881826997,84.58170335,81.38703031,76.65971338,67.99731113,0.021347488,66.66666667,13.79257104,0.875036434,0
2005/2/15,0.899610996,0.815133989,0.815133989,0.881826997,82.70384175,81.82596746,76.65971338,67.99731113,0.021862126,58.33333333,15.38394906,0.878728124,0
2005/2/16,0.895165026,0.874415994,0.887754977,0.881826997,81.45193402,81.70128965,76.65971338,67.99731113,0.022016191,84.66688894,21.05188144,0.880668288,0
2005/2/17,0.883309007,0.861078024,0.881826997,0.880344987,80.03255046,81.14504325,73.11158183,67.05792728,0.021767777,62.71912378,22.80621666,0.88155754,0
2005/2/18,0.887754977,0.847738981,0.874415994,0.850703001,67.39002109,76.56003587,34.63547547,51.5260774,0.018960483,22.78148105,57.89503764,0.875925578,-1
2005/2/21,0.898128986,0.859596014,0.859596014,0.892201006,75.33614556,76.15207243,65.30747237,64.19253389,0.019855344,125.2859419,8.771605509,0.878404598,0
2005/2/22,0.914431989,0.884791017,0.892201006,0.907021999,81.06997181,77.79137222,71.11625106,67.50119995,0.021512475,222.4104826,7.462375686,0.883389725,1
2005/2/23,0.908504009,0.889236987,0.907021999,0.893683016,80.41476109,78.66583518,60.22553956,61.88670509,0.021501563,149.1998789,20.89566036,0.885491493,0
2005/2/24,0.921841979,0.895165026,0.908504009,0.905539989,81.85077516,79.72748184,65.8104161,64.73134786,0.022193837,158.0642139,15.2771967,0.889533509,0
2005/2/25,0.918878019,0.90405798,0.911468029,0.90405798,82.34516913,80.60004427,64.45300633,64.07921773,0.022365072,130.0451506,16.66604292,0.892874924,0
2005/2/28,0.90405798,0.871451974,0.902575016,0.878862023,68.89668183,76.69892346,45.36383473,53.99110089,0.020234424,18.00421164,40.27810439,0.891231056,0
2005/3/1,0.884791017,0.872933984,0.875898004,0.877380013,59.26437948,70.8874088,44.43493266,53.45114445,0.018216299,-16.79743055,60.00022522,0.88937164,0
2005/3/2,0.886273026,0.859596014,0.877380013,0.861078024,45.50981261,62.42821007,34.9801321,47.72384323,0.01512711,-65.25473064,81.99932113,0.884629081,-1
2005/3/3,0.877380013,0.855148971,0.859596014,0.874415994,39.9695815,54.94200054,46.21610024,52.28701947,0.013598414,-67.74700534,64.00009009,0.88268886,0
2005/3/4,0.877380013,0.861078024,0.874415994,0.867006004,32.57256251,47.4855212,41.44177606,49.65986523,0.011654639,-72.51159258,82.22147547,0.879509169,0
2005/3/7,0.874415994,0.865523994,0.867006004,0.869970024,29.12264106,41.36456115,44.2082909,50.73990312,0.010235369,-68.16523319,77.77720183,0.876571973,0
2005/3/8,0.887754977,0.865523994,0.877380013,0.884791017,34.23026303,38.98646178,56.53091183,55.90095865,0.010189064,-16.49386078,55.55449303,0.876733702,1
2005/3/9,0.889236987,0.858114004,0.887754977,0.862559974,26.69648366,34.88980241,40.44986619,47.71982963,0.008263254,-62.45032114,88.88788594,0.873257623,0
2005/3/10,0.867006004,0.841811001,0.862559974,0.844775021,19.384892,29.72149894,31.77303514,42.31513484,0.005241517,-147.2321396,96.15397109,0.86711379,0
2005/3/11,0.852185011,0.829954028,0.844775021,0.835883021,16.25698679,25.23332822,28.15016359,39.85323091,0.002104994,-163.9882874,91.99908627,0.860458047,0
2005/3/14,0.855148971,0.829954028,0.834401011,0.846256971,20.00473075,23.4904624,38.04083445,43.99988281,0.000451168,-126.3898634,72.49978132,0.856928021,0
2005/3/15,0.846256971,0.821062028,0.844775021,0.822543979,14.0610691,20.3473313,27.61399528,37.54525618,-0.002741342,-160.7499374,97.82625421,0.849679362,0
2005/3/16,0.832919002,0.812170029,0.822543979,0.821062028,13.22005217,17.97157159,27.05780459,37.17347399,-0.005329574,-148.1771727,88.46198169,0.843158275,0
2005/3/17,0.829954028,0.812170029,0.822543979,0.816615999,10.73635827,15.55983382,25.2284221,36.00655069,-0.007651324,-128.8280533,94.23102951,0.836556384,-1
2005/3/18,0.838846982,0.815133989,0.822543979,0.832919002,16.13200751,15.75055838,42.37262491,43.14584348,-0.00808264,-82.56786152,73.07669403,0.833969583,0
2005/3/21,0.843293011,0.828472018,0.829954028,0.843293011,24.21611841,18.57241172,50.95884014,47.23237475,-0.007500899,-42.3775839,59.61565977,0.83388873,0
2005/3/22,0.846256971,0.816615999,0.844775021,0.821062028,21.54928948,19.56470431,36.84266043,40.43755325,-0.008733051,-70.457495,88.46198169,0.830250917,0
2005/3/23,0.837364972,0.813651979,0.818098009,0.824025989,23.56136255,20.89692372,39.52295871,41.65828358,-0.009362449,-73.46656281,78.37923032,0.828310714,0
2005/3/24,0.831435978,0.813651979,0.821062028,0.829954028,29.50037561,23.76474102,45.11339431,44.15549295,-0.00927598,-66.4548037,58.62159827,0.828148955,0
2005/3/25,0.838846982,0.815133989,0.824025989,0.831435978,38.50692659,28.67880287,46.59436341,44.79985078,-0.008984306,-45.6300003,55.1735137,0.828526113,0
2005/3/28,0.831435978,0.831435978,0.831435978,0.831435978,44.5112939,33.95629988,46.59436341,44.79985078,-0.008653402,-19.30224366,43.47997146,0.828984127,0
2005/3/29,0.840328991,0.826990008,0.840328991,0.829954028,47.06501878,38.32587285,44.85167099,44.19300642,-0.00841375,7.406300438,47.82753146,0.829442168,0
2005/3/30,0.826990008,0.785493016,0.826990008,0.786975026,32.18966658,36.28047076,19.4868211,30.93534409,-0.01155863,-270.5868338,97.56103781,0.821951117,-1
2005/3/31,0.801795006,0.782527983,0.786975026,0.800312996,30.76219683,34.44104612,33.49342641,37.30303385,-0.012826848,-221.8397806,72.09274267,0.817504915,0
2005/4/1,0.859596014,0.792903006,0.800312996,0.841811001,46.14912117,38.3437378,59.68096884,52.24665624,-0.010363908,58.68132711,23.07703016,0.820900223,0
2005/4/4,0.832919002,0.815133989,0.829954028,0.816615999,45.50977116,40.73241559,46.37652311,45.12328168,-0.010326005,-14.25807195,55.76892884,0.819552949,0
2005/4/5,0.826990008,0.813651979,0.815133989,0.821062028,47.006527,42.82378606,48.79378015,46.52677443,-0.009823965,-20.91205291,49.99996133,0.819499081,0
2005/4/6,0.847738981,0.812170029,0.819580019,0.838846982,55.69668183,47.11475132,57.90299038,51.89556082,-0.007899932,67.80519597,26.92300851,0.82267884,0
2005/4/7,0.902575016,0.849220991,0.859596014,0.859596014,58.53052028,50.92000764,66.29674435,57.34601888,-0.004647277,265.3388411,35.80180283,0.829361678,0
2005/4/8,0.884791017,0.853667021,0.858114004,0.881826997,66.59259951,56.14420493,73.1738462,62.33422232,-0.000272529,217.0553993,17.28324202,0.839547568,1
2005/4/11,0.895165026,0.864041984,0.881826997,0.869970024,68.67500573,60.32113853,64.72147728,58.36298521,0.00221223,166.9974194,27.16018182,0.846661444,0
2005/4/12,0.874415994,0.855148971,0.869970024,0.858114004,66.77122809,62.47116838,56.84294299,54.57060664,0.00318799,89.41662264,37.03632721,0.850919061,0
